results0_Metric_1,results0_Metric_2,results0_Metric_3,results0_Metric_4,results0_Metric_5,results0_Metric_6,results0_Metric_7,results0_Metric_8,results0_Metric_9,results0_Metric_10,results0_Metric_11,results0_Metric_12,results0_Metric_13,results0_Metric_14,results0_Metric_15,results0_Metric_16,results0_Metric_17,results0_Metric_18,results0_Metric_19,results0_Metric_20,results0_Metric_21,results0_Metric_22,results0_Metric_23,results0_Metric_24,results0_Metric_25,results0_Metric_26,results0_Metric_27,results0_Metric_28,results0_Metric_29,results0_Metric_30,results1_Metric_1,results1_Metric_2,results1_Metric_3,results1_Metric_4,results1_Metric_5,results1_Metric_6,results1_Metric_7,results1_Metric_8,results1_Metric_9,results1_Metric_10,results1_Metric_11,results1_Metric_12,results1_Metric_13,results1_Metric_14,results1_Metric_15,results1_Metric_16,results1_Metric_17,results1_Metric_18,results1_Metric_19,results1_Metric_20,results1_Metric_21,results1_Metric_22,results1_Metric_23,results1_Metric_24,results1_Metric_25,results1_Metric_26,results1_Metric_27,results1_Metric_28,results1_Metric_29,results1_Metric_30,results2_Metric_1,results2_Metric_2,results2_Metric_3,results2_Metric_4,results2_Metric_5,results2_Metric_6,results2_Metric_7,results2_Metric_8,results2_Metric_9,results2_Metric_10,results2_Metric_11,results2_Metric_12,results2_Metric_13,results2_Metric_14,results2_Metric_15,results2_Metric_16,results2_Metric_17,results2_Metric_18,results2_Metric_19,results2_Metric_20,results2_Metric_21,results2_Metric_22,results2_Metric_23,results2_Metric_24,results2_Metric_25,results2_Metric_26,results2_Metric_27,results2_Metric_28,results2_Metric_29,results2_Metric_30,results3_Metric_1,results3_Metric_2,results3_Metric_3,results3_Metric_4,results3_Metric_5,results3_Metric_6,results3_Metric_7,results3_Metric_8,results3_Metric_9,results3_Metric_10,results3_Metric_11,results3_Metric_12,results3_Metric_13,results3_Metric_14,results3_Metric_15,results3_Metric_16,results3_Metric_17,results3_Metric_18,results3_Metric_19,results3_Metric_20,results3_Metric_21,results3_Metric_22,results3_Metric_23,results3_Metric_24,results3_Metric_25,results3_Metric_26,results3_Metric_27,results3_Metric_28,results3_Metric_29,results3_Metric_30
-37.28956500488602,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-2.3275189146060313,-0.8323221547708073,-0.8323221547708073,-0.5696258465555761,-0.5696258465555761,-0.5696258465555761,-0.5696258465555761,-0.5696258465555761,-0.418202134553054,-0.418202134553054,-0.418202134553054,-0.418202134553054,-0.4101969507268368,-0.4101969507268368,-0.4101969507268368,-0.4090416114259341,-0.4090416114259341,-0.4090416114259341,-0.40605496440584155,-0.40605496440584155,-0.4020295602389332,-37.28956500488602,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-0.6757245654846908,-0.6757245654846908,-0.6757245654846908,-0.6757245654846908,-0.6757245654846908,-0.6757245654846908,-0.6757245654846908,-0.6757245654846908,-0.6757245654846908,-0.40751563134892166,-0.40751563134892166,-0.40751563134892166,-0.40751563134892166,-0.40751563134892166,-0.40751563134892166,-0.4064343280718088,-0.4064343280718088,-0.40624797487032716,-0.40624797487032716,-0.40609471388602536,-0.40609471388602536,-0.4038051263148752,-37.28956500488602,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-3.5451956715421797,-0.7661551936110573,-0.7661551936110573,-0.7661551936110573,-0.7661551936110573,-0.7661551936110573,-0.7661551936110573,-0.7661551936110573,-0.7661551936110573,-0.7661551936110573,-0.7661551936110573,-0.7661551936110573,-0.7661551936110573,-0.7661551936110573,-0.7661551936110573,-0.7661551936110573,-0.7661551936110573,-22.281524658203125,-22.281524658203125,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844,-1.1133384704589844
-20.446242229978893,-20.446242229978893,-10.66112871201193,-10.440794431514274,-10.440794431514274,-10.440794431514274,-3.2153630455583997,-2.1813392585511524,-2.1813392585511524,-2.1813392585511524,-2.1813392585511524,-2.1813392585511524,-2.1813392585511524,-1.3009232783726912,-1.3009232783726912,-0.408204900221115,-0.408204900221115,-0.408204900221115,-0.408204900221115,-0.408204900221115,-0.408204900221115,-0.408204900221115,-0.408204900221115,-0.40449917208270314,-0.40449917208270314,-0.39807496467253856,-0.39807496467253856,-0.39807496467253856,-0.39807496467253856,-0.39807496467253856,-20.446242229978893,-20.446242229978893,-10.66112871201193,-10.440794431514274,-10.440794431514274,-10.440794431514274,-10.440794431514274,-10.440794431514274,-6.7788615561699626,-6.7788615561699626,-6.7788615561699626,-6.7788615561699626,-4.819866051814666,-4.819866051814666,-4.819866051814666,-4.819866051814666,-4.496844048837622,-4.064367026496933,-2.084659950398825,-2.084659950398825,-0.4152118921764494,-0.4152118921764494,-0.4152118921764494,-0.4152118921764494,-0.4152118921764494,-0.4152118921764494,-0.4049844842779322,-0.4049844842779322,-0.402912445498222,-0.402912445498222,-20.446242229978893,-20.446242229978893,-10.66112871201193,-10.440794431514274,-10.440794431514274,-10.440794431514274,-10.440794431514274,-10.440794431514274,-10.440794431514274,-10.440794431514274,-10.440794431514274,-10.440794431514274,-10.440794431514274,-3.9762883224827217,-3.9762883224827217,-3.9762883224827217,-3.9762883224827217,-3.9762883224827217,-3.9762883224827217,-2.2649829489517206,-2.2649829489517206,-2.2649829489517206,-2.2649829489517206,-2.2649829489517206,-2.2649829489517206,-2.2649829489517206,-2.2649829489517206,-2.2649829489517206,-2.2649829489517206,-2.2649829489517206,-133.20220947265625,-68.7313232421875,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508,-14.219209671020508
-198.53238836889597,-45.65822755781774,-9.408719870284909,-9.408719870284909,-9.408719870284909,-9.408719870284909,-5.928436279323957,-5.928436279323957,-5.928436279323957,-5.928436279323957,-3.5840295752532363,-0.9956834013516236,-0.9956834013516236,-0.9956834013516236,-0.9956834013516236,-0.9956834013516236,-0.9956834013516236,-0.4643700878335384,-0.4643700878335384,-0.4643700878335384,-0.42362445508657665,-0.42362445508657665,-0.42362445508657665,-0.42362445508657665,-0.42362445508657665,-0.4013316867302379,-0.4013316867302379,-0.4013316867302379,-0.39959348465721867,-0.39959348465721867,-198.53238836889597,-45.65822755781774,-9.408719870284909,-9.408719870284909,-9.408719870284909,-9.408719870284909,-9.408719870284909,-9.408719870284909,-2.8685861164733275,-2.8685861164733275,-2.8685861164733275,-2.8685861164733275,-1.2744550847525389,-1.2744550847525389,-1.2744550847525389,-1.2744550847525389,-1.2744550847525389,-0.9806969535893888,-0.9806969535893888,-0.9806969535893888,-0.8669884201133016,-0.6309335571862746,-0.6309335571862746,-0.6309335571862746,-0.5633315924373932,-0.41579739577738906,-0.4026734717797904,-0.4023640275138334,-0.4023640275138334,-0.40045817032216213,-198.53238836889597,-45.65822755781774,-9.408719870284909,-9.408719870284909,-9.408719870284909,-9.408719870284909,-9.408719870284909,-9.408719870284909,-4.364080040887805,-4.364080040887805,-4.364080040887805,-4.364080040887805,-4.364080040887805,-4.364080040887805,-4.364080040887805,-3.5445151839099456,-3.5445151839099456,-3.5445151839099456,-3.5445151839099456,-3.5445151839099456,-3.5445151839099456,-3.5445151839099456,-3.5445151839099456,-3.5445151839099456,-3.5445151839099456,-3.5445151839099456,-3.5445151839099456,-3.5445151839099456,-3.5445151839099456,-3.5445151839099456,-40.02192687988281,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246,-3.771620750427246
-124.40947116335501,-93.06071481550015,-24.671632749604413,-24.671632749604413,-20.487477929560864,-20.487477929560864,-20.30472716152799,-0.7057624812413401,-0.7057624812413401,-0.7057624812413401,-0.7057624812413401,-0.7057624812413401,-0.7057624812413401,-0.7057624812413401,-0.7057624812413401,-0.7057624812413401,-0.7057624812413401,-0.525487713356247,-0.525487713356247,-0.525487713356247,-0.525487713356247,-0.525487713356247,-0.46212199756107886,-0.4231623114997145,-0.41035610673474743,-0.41035610673474743,-0.40596363558829474,-0.40139632060396657,-0.40139632060396657,-0.40139632060396657,-124.40947116335501,-93.06071481550015,-24.671632749604413,-24.671632749604413,-20.487477929560864,-9.157560878785263,-9.157560878785263,-9.157560878785263,-9.157560878785263,-9.157560878785263,-4.89194877492326,-4.89194877492326,-2.378210246158935,-1.9448094115389765,-1.9448094115389765,-1.145306417840299,-0.62362377282507,-0.62362377282507,-0.62362377282507,-0.62362377282507,-0.62362377282507,-0.62362377282507,-0.62362377282507,-0.62362377282507,-0.5653556788544165,-0.39860604911708997,-0.39860604911708997,-0.39860604911708997,-0.39860604911708997,-0.39860604911708997,-124.40947116335501,-93.06071481550015,-24.671632749604413,-24.671632749604413,-20.487477929560864,-20.487477929560864,-20.487477929560864,-17.133182450548702,-17.133182450548702,-17.133182450548702,-17.133182450548702,-17.133182450548702,-17.133182450548702,-6.309443888015541,-6.309443888015541,-6.309443888015541,-6.309443888015541,-4.457244719230339,-4.457244719230339,-4.457244719230339,-2.887475043700759,-2.887475043700759,-2.887475043700759,-2.887475043700759,-2.887475043700759,-2.887475043700759,-2.887475043700759,-2.887475043700759,-2.887475043700759,-2.887475043700759,-14.858072280883789,-8.819718360900879,-8.819718360900879,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318,-6.386804103851318
-40.90740604637041,-9.541507184907042,-8.843968501136972,-8.843968501136972,-8.843968501136972,-8.843968501136972,-8.843968501136972,-8.843968501136972,-8.843968501136972,-2.96204104341637,-2.96204104341637,-2.96204104341637,-2.96204104341637,-2.96204104341637,-2.96204104341637,-2.96204104341637,-1.0417861217867106,-0.4814935192956824,-0.4814935192956824,-0.40446570604545684,-0.40446570604545684,-0.40446570604545684,-0.40446570604545684,-0.40446570604545684,-0.40446570604545684,-0.40446570604545684,-0.4002516205080795,-0.3995541809069021,-0.3995541809069021,-0.3995541809069021,-40.90740604637041,-9.541507184907042,-8.843968501136972,-8.843968501136972,-8.843968501136972,-8.843968501136972,-8.843968501136972,-8.843968501136972,-8.843968501136972,-8.843968501136972,-8.843968501136972,-8.843968501136972,-8.843968501136972,-1.4790813664657385,-1.0649758241557183,-1.0649758241557183,-1.0649758241557183,-0.880661047951385,-0.880661047951385,-0.880661047951385,-0.880661047951385,-0.880661047951385,-0.5929568137394146,-0.5929568137394146,-0.5696000495139799,-0.4323622440646968,-0.4323622440646968,-0.41714376227930394,-0.41714376227930394,-0.40636832085872676,-40.90740604637041,-9.541507184907042,-8.843968501136972,-8.843968501136972,-8.843968501136972,-8.843968501136972,-8.843968501136972,-8.843968501136972,-8.843968501136972,-8.843968501136972,-8.843968501136972,-4.733208339191066,-4.733208339191066,-4.733208339191066,-4.733208339191066,-4.733208339191066,-4.733208339191066,-4.733208339191066,-4.733208339191066,-4.733208339191066,-4.733208339191066,-4.733208339191066,-2.336284201856481,-2.336284201856481,-2.336284201856481,-2.336284201856481,-2.336284201856481,-2.336284201856481,-2.336284201856481,-2.336284201856481,-185.9116668701172,-19.658267974853516,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039,-19.33865737915039
-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-4.064526561380914,-4.064526561380914,-4.064526561380914,-2.0141255257643316,-0.9211286807466319,-0.672579135540019,-0.5603052881340265,-0.5603052881340265,-0.5082662901625916,-0.4400041284157954,-0.40415768004791275,-0.40415768004791275,-0.40415768004791275,-0.40415768004791275,-0.40415768004791275,-0.40415768004791275,-0.40415768004791275,-0.40415768004791275,-0.40133455228392556,-0.40133455228392556,-0.398244560829351,-0.398244560829351,-0.398244560829351,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-1.3432650339360368,-1.3432650339360368,-1.3432650339360368,-1.3432650339360368,-1.3432650339360368,-1.3432650339360368,-1.3432650339360368,-1.3432650339360368,-0.7474068004015955,-0.621888834370111,-0.621888834370111,-0.621888834370111,-0.39838087478612394,-0.39838087478612394,-0.39838087478612394,-0.39838087478612394,-0.39838087478612394,-0.39792565250302836,-0.39792565250302836,-0.39792565250302836,-0.39792565250302836,-0.39792565250302836,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-6.166340765051228,-1.388371653520153,-1.388371653520153,-1.388371653520153,-1.388371653520153,-1.388371653520153,-1.388371653520153,-1.388371653520153,-1.388371653520153,-1.388371653520153,-31.30255889892578,-31.30255889892578,-31.30255889892578,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285,-2.566765785217285
-24.615057097037443,-24.615057097037443,-24.615057097037443,-24.615057097037443,-18.930348969864077,-5.747371881265757,-5.747371881265757,-0.8219922685379526,-0.8219922685379526,-0.8219922685379526,-0.8219922685379526,-0.4290172598092852,-0.4290172598092852,-0.4290172598092852,-0.4290172598092852,-0.4290172598092852,-0.4290172598092852,-0.4051194053069018,-0.39981737964406605,-0.39981737964406605,-0.39890851349176515,-0.39890851349176515,-0.39890851349176515,-0.39890851349176515,-0.39890851349176515,-0.39890851349176515,-0.39890851349176515,-0.39890851349176515,-0.39890851349176515,-0.39890851349176515,-24.615057097037443,-24.615057097037443,-24.615057097037443,-24.615057097037443,-18.930348969864077,-6.326503938776071,-1.0704953783666191,-1.0704953783666191,-1.0704953783666191,-0.5686158226230997,-0.5686158226230997,-0.5686158226230997,-0.5686158226230997,-0.5686158226230997,-0.4147805812359078,-0.4147805812359078,-0.4128512855631836,-0.41155378996722014,-0.41155378996722014,-0.41155378996722014,-0.41155378996722014,-0.41155378996722014,-0.41155378996722014,-0.41155378996722014,-0.40347901551811205,-0.40347901551811205,-0.40155790026646265,-0.4004452127610083,-0.4004452127610083,-0.3990192505813468,-24.615057097037443,-24.615057097037443,-24.615057097037443,-24.615057097037443,-18.930348969864077,-18.930348969864077,-14.551403526189194,-14.551403526189194,-14.551403526189194,-9.595610327560046,-9.595610327560046,-9.595610327560046,-9.595610327560046,-9.595610327560046,-9.595610327560046,-0.5425136710020801,-0.5425136710020801,-0.5425136710020801,-0.5425136710020801,-0.5425136710020801,-0.5425136710020801,-0.5425136710020801,-0.5425136710020801,-0.5425136710020801,-0.5425136710020801,-0.5425136710020801,-0.5425136710020801,-0.5425136710020801,-0.5425136710020801,-0.5425136710020801,-124.93082427978516,-39.77131652832031,-39.77131652832031,-39.77131652832031,-35.81720733642578,-35.81720733642578,-35.81720733642578,-34.232700330894026,-34.232700330894026,-34.232700330894026,-34.232700330894026,-34.232700330894026,-34.232700330894026,-34.232700330894026,-34.232700330894026,-34.232700330894026,-34.232700330894026,-34.232700330894026,-34.232700330894026,-34.232700330894026,-34.232700330894026,-34.232700330894026,-34.232700330894026,-34.232700330894026,-34.232700330894026,-34.232700330894026,-34.232700330894026,-34.232700330894026,-32.77881292119373,-32.77881292119373
-57.093831445552695,-57.093831445552695,-45.0635540966865,-45.0635540966865,-20.079976190763176,-2.4178055739654,-2.015664590113718,-2.015664590113718,-2.015664590113718,-2.015664590113718,-2.015664590113718,-2.015664590113718,-2.015664590113718,-2.015664590113718,-2.015664590113718,-0.5056587696840911,-0.5056587696840911,-0.4457905668266271,-0.4457905668266271,-0.4457905668266271,-0.4457905668266271,-0.4457905668266271,-0.4457905668266271,-0.4183145111047484,-0.4147510948929085,-0.4147510948929085,-0.40182796339998106,-0.40182796339998106,-0.40182796339998106,-0.40182796339998106,-57.093831445552695,-57.093831445552695,-45.0635540966865,-45.0635540966865,-20.079976190763176,-16.570093263262528,-16.570093263262528,-16.570093263262528,-16.570093263262528,-1.2995921920680331,-1.2995921920680331,-1.2995921920680331,-0.6339660302725125,-0.6339660302725125,-0.6339660302725125,-0.6339660302725125,-0.6339660302725125,-0.6339660302725125,-0.6339660302725125,-0.5109172834211737,-0.4033675230584741,-0.4033675230584741,-0.4013640054296932,-0.4013640054296932,-0.4013640054296932,-0.3990616665298976,-0.3990616665298976,-0.3990616665298976,-0.3990616665298976,-0.3990616665298976,-57.093831445552695,-57.093831445552695,-45.0635540966865,-45.0635540966865,-20.079976190763176,-20.079976190763176,-19.70312405575054,-19.70312405575054,-19.70312405575054,-19.70312405575054,-19.70312405575054,-19.70312405575054,-19.70312405575054,-19.70312405575054,-19.70312405575054,-19.70312405575054,-19.70312405575054,-19.70312405575054,-19.70312405575054,-1.908019016474757,-1.908019016474757,-1.908019016474757,-1.908019016474757,-1.908019016474757,-1.908019016474757,-1.908019016474757,-1.908019016474757,-1.908019016474757,-1.908019016474757,-1.908019016474757,-79.07682037353516,-79.07682037353516,-14.667391777038574,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957,-7.63914680480957
-17.070820452769716,-17.070820452769716,-17.070820452769716,-17.070820452769716,-5.709470966384887,-5.709470966384887,-1.9431877040090288,-1.9431877040090288,-1.4329958902684972,-1.4329958902684972,-1.4329958902684972,-1.4329958902684972,-1.4329958902684972,-0.8129678603062924,-0.8129678603062924,-0.666915541692644,-0.4404983513137335,-0.4404983513137335,-0.4404983513137335,-0.4404983513137335,-0.4404983513137335,-0.39996511655746225,-0.39996511655746225,-0.39996511655746225,-0.39996511655746225,-0.39996511655746225,-0.39996511655746225,-0.3989285223266439,-0.3985218530804655,-0.3985218530804655,-17.070820452769716,-17.070820452769716,-17.070820452769716,-17.070820452769716,-5.709470966384887,-5.709470966384887,-2.1895168852873512,-2.1895168852873512,-2.1895168852873512,-2.1895168852873512,-2.1895168852873512,-2.1895168852873512,-2.1895168852873512,-0.9420317498872279,-0.9420317498872279,-0.9420317498872279,-0.9420317498872279,-0.4292325451836039,-0.4292325451836039,-0.4172548639745983,-0.4172548639745983,-0.4172548639745983,-0.4172548639745983,-0.4172548639745983,-0.4089234413184144,-0.3980878786470896,-0.3980878786470896,-0.3980878786470896,-0.3980878786470896,-0.3980878786470896,-17.070820452769716,-17.070820452769716,-17.070820452769716,-17.070820452769716,-5.709470966384887,-5.709470966384887,-2.8530409380039714,-2.8530409380039714,-2.8530409380039714,-2.8530409380039714,-2.8530409380039714,-2.8530409380039714,-2.8530409380039714,-2.8530409380039714,-2.8530409380039714,-2.8530409380039714,-2.8530409380039714,-2.8530409380039714,-2.8530409380039714,-2.8530409380039714,-2.8530409380039714,-2.8530409380039714,-2.8530409380039714,-2.8530409380039714,-0.4835870760238006,-0.4835870760238006,-0.4835870760238006,-0.4835870760238006,-0.4835870760238006,-0.4835870760238006,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242,-12.735074996948242
-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6418785326739993,-1.6418785326739993,-1.6418785326739993,-0.6300661088831117,-0.6300661088831117,-0.6300661088831117,-0.40109226041354873,-0.40109226041354873,-0.40109226041354873,-0.40109226041354873,-0.4002711441573634,-0.4002711441573634,-0.4002711441573634,-0.4002711441573634,-0.4002711441573634,-0.4002711441573634,-0.4002711441573634,-0.4002711441573634,-0.4002711441573634,-0.4002711441573634,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.4080307459926917,-0.7117696861820395,-0.7117696861820395,-0.7117696861820395,-0.6812963332616757,-0.401963490000421,-0.401963490000421,-0.401963490000421,-0.401963490000421,-0.401963490000421,-0.401963490000421,-0.4015511625185031,-0.4015511625185031,-0.4015511625185031,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-1.6863752547656183,-50.743839263916016,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477,-2.7232751846313477
