G,F,W,V1,V2,V3,C
960.2741251,85.29392694,6623.43777,214.2275749,340.3722331,54.60343979,0.089293231
959.8721119,85.74597896,6595.996008,213.9929566,332.0898995,54.64595088,0.090598627
960.3796637,86.96309584,6622.916667,214.0708972,343.9153563,54.70333552,0.09792052
960.2418194,94.04087559,6654.799367,214.1461703,339.0909085,54.79741681,0.105241279
955.2645013,101.057077,6768.130288,214.1185486,369.2838616,54.84162848,0.119250951
963.328472,113.9162004,6859.26553,217.5790106,304.7276032,54.9304399,0.145431783
961.6847043,140.0985772,7129.900157,219.9772872,298.9759378,54.91618597,0.137988835
960.0832293,132.7017518,7409.508902,225.6407077,306.7308213,54.86962965,0.122763202
961.2692085,117.862891,7254.859809,223.4369269,300.8585523,54.88850471,0.111785932
960.2827079,107.4563744,7052.222149,220.817244,335.6464614,54.89844276,0.112247187
959.5298861,107.7890324,6974.438755,217.8854538,331.5377001,54.96721987,0.097607163
961.4039154,93.6569896,6899.922332,218.6435479,320.9536921,54.94918583,0.087103069
960.1061261,83.7412318,6670.776831,215.3813404,304.6309034,55.07963116,0.083904199
960.3473226,80.55693527,6572.029861,213.4497086,284.0019501,55.13267833,0.089066463
959.353816,85.53473957,6657.305051,212.5264154,257.8010348,54.94276402,0.107599962
959.5666544,103.226434,6876.073106,214.101379,251.7022073,54.77783081,0.106981013
959.8851333,102.6554123,7060.890152,217.0100976,271.1704329,54.76643219,0.101072097
960.1206844,97.01760335,6982.605619,217.2391835,253.3078673,54.7940151,0.090192056
959.7931836,86.59525891,6869.394365,215.8080427,265.1848237,54.83041288,0.081077546
960.5488136,77.81767569,6679.371212,214.6886069,302.6433743,54.84718564,0.081798479
959.411365,78.57143218,6582.08147,212.5557377,311.6919904,54.83935285,0.081761276
961.0829427,78.4426973,6583.687442,212.4791045,253.7712075,54.80243684,0.089799229
959.432509,86.30450718,6614.319444,211.6718024,270.2726741,54.64588715,0.098837004
959.4947681,94.82743507,6709.9,213.9427939,280.3535468,54.20748253,0.113568314
959.0407259,108.9682031,6865.574215,214.9582709,310.2311764,54.18713051,0.117582238
959.9410544,112.7661553,7071.245043,218.3710484,285.0815524,54.09705097,0.119513572
959.8699115,114.725984,7136.984302,218.9656388,285.2547549,54.01505272,0.117882995
960.3273804,113.15234,7215.755435,219.2688686,279.3384419,53.80899202,0.106455093
958.5738202,102.2317407,7075.969046,220.5817013,218.7934456,53.40734911,0.111572474
960.0591223,106.9504526,6969.781895,232.6943576,223.2268092,53.62981101,0.101588045
959.6287272,97.53052945,6832.669444,234.710656,261.5625556,53.98954694,0.097314753
960.2728662,93.38603262,6648.899747,232.0318998,312.7542895,54.08899355,0.089743735
960.5234079,86.1784732,6585.287121,230.5521001,295.4992479,54.11239383,0.084532793
960.5013913,81.19572636,6477.995328,229.4129313,280.017088,53.957762,0.090695048
959.6200687,87.11271984,6441.084217,227.8746168,298.4947802,53.89101412,0.102312118
959.9894358,98.18076211,6535.98839,229.330974,274.5344679,53.82676837,0.116317468
959.4975334,111.6635406,6724.358232,231.8397447,305.1040773,53.87162752,0.1148318
961.7126858,110.1808291,6878.993599,234.7789367,289.6561695,53.94519973,0.104477289
960.1786104,100.4771339,6755.082134,235.1493727,275.2692003,53.89993725,0.097691959
959.9142417,93.8017295,6574.263447,232.8062693,259.1346189,53.85109049,0.087189903
957.4996297,83.69483008,6480.293406,230.7953678,261.3933549,53.81999083,0.100261917
960.3293537,96.0007488,6400.128662,229.1795204,234.1647432,53.77086116,0.097718698
959.6556658,93.84213387,6556.74173,231.5173224,226.6999894,53.68602835,0.100146677
960.1927254,96.10632623,6501.086174,230.8946917,251.6326367,53.86265388,0.09603115
